delivery_start;imbalance_penalty
2024-10-12 22:00:00+00:00;110.71
2024-10-12 23:00:00+00:00;37.18
2024-10-13 00:00:00+00:00;42.68
2024-10-13 01:00:00+00:00;25.0
2024-10-13 02:00:00+00:00;44.07
2024-10-13 03:00:00+00:00;110.24
2024-10-13 04:00:00+00:00;1094.36
2024-10-13 05:00:00+00:00;28.36
2024-10-13 06:00:00+00:00;144.65
2024-10-13 07:00:00+00:00;17.57
2024-10-13 08:00:00+00:00;37.71
2024-10-13 09:00:00+00:00;18.71
2024-10-13 10:00:00+00:00;2.31
2024-10-13 11:00:00+00:00;0.94
2024-10-13 12:00:00+00:00;1.86
2024-10-13 13:00:00+00:00;13.68
2024-10-13 14:00:00+00:00;8.5
2024-10-13 15:00:00+00:00;57.66
2024-10-13 16:00:00+00:00;45.74
2024-10-13 17:00:00+00:00;71.86
2024-10-13 18:00:00+00:00;73.06
2024-10-13 19:00:00+00:00;63.42
2024-10-13 20:00:00+00:00;57.63
2024-10-13 21:00:00+00:00;38.75
